profile_id,steering_condition,model_key,n_essays,n_words_concat,cell,target_O,target_N,target_emo_sad,target_focusfuture,target_mental,target_certitude,target_fatigue,target_Affect,target_adverb,target_swear,obs_emo_sad,obs_focusfuture,obs_mental,obs_certitude,obs_fatigue,obs_Affect,obs_adverb,obs_swear,raw_mae,standardized_mae,scored
syn_0002,persona_liwc,deepseek-v3,6,1140,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.61,2.96,0.0,2.35,0.44,8.62,10.44,0.96,0.9616441908350213,2.8606420610672565,True
syn_0002,persona_liwc,gpt-4o-mini,6,1165,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.68,2.57,0.0,1.37,0.17,8.9,7.53,0.0,0.45914419083502145,1.6802733202191726,True
syn_0002,persona_liwc,qwen3-32b,6,1116,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.18,2.67,0.0,1.33,0.18,7.3,7.12,1.51,0.4396058091649786,1.5161055905181537,True
syn_0002,persona_only,deepseek-v3,6,1187,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.0,1.25,0.0,1.17,0.25,6.43,7.26,0.0,0.45835580916497864,1.6656783499248111,True
syn_0002,persona_only,gpt-4o-mini,6,1184,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.08,0.5,0.0,1.18,0.0,7.48,6.55,0.0,0.46710580916497857,1.2449419006647158,True
syn_0002,persona_only,qwen3-32b,6,1642,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.12,0.91,0.0,0.66,0.24,6.4,7.91,0.06,0.6174368554844618,1.8349142701245031,True
syn_0003,lex_fewshot,deepseek-v3,6,1161,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,1.11,2.65,0.17,1.54,1.37,8.37,9.39,1.79,1.2075,5.105705872002603,True
syn_0003,lex_fewshot,gpt-4o-mini,6,1162,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.78,2.67,0.0,1.9,0.6,5.43,9.91,0.0,0.9099999999999999,2.845793433048337,True
syn_0003,lex_fewshot,qwen3-32b,6,1597,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.37,2.31,0.0,0.56,1.25,8.72,8.97,2.49,1.1575000000000002,4.258503829007391,True
syn_0003,liwc_only,deepseek-v3,6,1223,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,1.29,1.45,0.16,2.26,1.53,8.32,9.77,1.45,1.1875,5.441569214285028,True
syn_0003,liwc_only,gpt-4o-mini,6,1154,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.78,2.93,0.0,2.07,0.95,7.25,8.71,0.26,0.8450000000000001,3.511482026678487,True
syn_0003,liwc_only,qwen3-32b,6,1192,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.33,1.83,0.08,0.75,0.75,7.9,8.15,2.25,0.7712500000000002,2.722509703282227,True
syn_0003,persona_liwc,deepseek-v3,6,1242,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.8,1.52,0.0,1.92,0.96,9.26,10.69,1.28,1.24,3.7523441059504834,True
syn_0003,persona_liwc,gpt-4o-mini,6,1237,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.4,2.09,0.0,1.29,0.56,9.0,8.28,0.0,0.74375,1.9518633409299673,True
syn_0003,persona_liwc,qwen3-32b,6,1504,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.4,1.33,0.0,0.6,1.2,7.25,7.85,0.93,0.5062500000000001,3.0079560932232043,True
syn_0003,persona_only,deepseek-v3,6,1183,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.42,0.84,0.08,1.0,0.08,5.27,7.36,0.17,0.26375000000000015,0.4661628339083669,True
syn_0003,persona_only,gpt-4o-mini,6,1207,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.25,0.25,0.0,0.41,0.0,7.36,5.95,0.0,0.58875,1.342889812305884,True
syn_0003,persona_only,qwen3-32b,6,1257,nan,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42,0.31,0.47,0.31,0.86,0.08,5.02,7.3,0.24,0.36750000000000005,0.7591149779279865,True
syn_0004,lex_fewshot,deepseek-v3,6,1113,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.27,1.87,0.0,0.44,1.96,7.38,8.27,1.16,1.192827824178692,5.404808659830602,True
syn_0004,lex_fewshot,gpt-4o-mini,6,1154,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.43,2.24,0.0,1.29,0.6,7.25,7.85,0.0,0.9090778241786922,2.4282104579776864,True
syn_0004,lex_fewshot,qwen3-32b,6,1020,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.1,1.16,0.0,0.68,0.58,5.41,8.01,0.97,0.6603278241786921,1.9651256073752799,True
syn_0004,liwc_only,deepseek-v3,6,738,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.27,2.41,0.0,1.34,0.8,5.76,8.97,0.8,0.9128278241786922,2.774679174196745,True
syn_0004,liwc_only,gpt-4o-mini,6,1176,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,1.02,1.96,0.0,1.02,0.68,6.21,6.89,0.0,0.6840778241786922,2.9025483459003683,True
syn_0004,liwc_only,qwen3-32b,6,1631,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.31,1.54,0.0,0.74,1.17,6.11,7.96,0.37,0.7240778241786922,3.118689789491504,True
syn_0004,persona_liwc,deepseek-v3,6,1161,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.34,1.89,0.09,1.03,0.77,5.91,9.08,0.6,0.8378278241786922,2.542402340497667,True
syn_0004,persona_liwc,gpt-4o-mini,6,1205,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.58,1.24,0.0,0.91,0.16,8.07,7.74,0.0,0.8790778241786922,1.5273284776199123,True
syn_0004,persona_liwc,qwen3-32b,6,1248,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.08,1.11,0.08,0.55,0.95,4.75,6.42,0.4,0.4965778241786923,2.503724882682902,True
syn_0004,persona_only,deepseek-v3,6,1224,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.24,0.41,0.32,1.05,0.24,6.97,6.16,0.0,0.6353278241786922,1.4277500974191022,True
syn_0004,persona_only,gpt-4o-mini,6,1208,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.0,0.74,0.16,0.91,0.0,7.91,5.85,0.0,0.6628278241786922,1.1643856790497908,True
syn_0004,persona_only,qwen3-32b,6,1288,nan,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33,0.23,0.84,0.15,0.46,0.08,6.57,7.11,0.23,0.6528278241786922,1.026290413583867,True
syn_0005,lex_fewshot,deepseek-v3,6,1123,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.0,2.03,0.0,0.97,0.09,4.42,8.58,0.0,0.8074223376337621,1.2293913070065945,True
syn_0005,lex_fewshot,gpt-4o-mini,6,1168,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.0,1.79,0.0,0.85,0.0,6.32,7.09,0.0,0.33742233763376206,0.7476436060020402,True
syn_0005,lex_fewshot,qwen3-32b,6,1559,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.45,1.27,0.0,0.25,0.45,5.22,7.71,0.0,0.540077662366238,1.8071463727610195,True
syn_0005,liwc_only,deepseek-v3,6,1191,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.33,1.42,0.0,1.33,0.17,3.67,9.25,0.0,0.9874223376337622,1.7003046977746954,True
syn_0005,liwc_only,gpt-4o-mini,6,1148,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.0,1.3,0.0,0.7,0.09,6.52,6.96,0.0,0.267422337633762,0.574270428392672,True
syn_0005,liwc_only,qwen3-32b,6,1179,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.08,1.01,0.0,1.01,0.08,4.61,6.37,0.08,0.4136723376337621,0.6710243156796327,True
syn_0005,persona_liwc,deepseek-v3,6,1082,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.18,1.19,0.0,0.55,0.09,3.49,7.61,0.0,0.6524223376337621,0.8636813900952951,True
syn_0005,persona_liwc,gpt-4o-mini,6,1134,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.0,1.5,0.0,0.62,0.0,6.61,6.97,0.0,0.2936723376337621,0.5948896585454239,True
syn_0005,persona_liwc,qwen3-32b,6,1144,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.0,1.65,0.0,0.78,0.0,3.9,7.71,0.0,0.6911723376337622,0.981733639049404,True
syn_0005,persona_only,deepseek-v3,6,1092,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.18,0.82,0.0,1.55,0.45,5.55,6.01,0.0,0.41117233763376215,1.7134641013058816,True
syn_0005,persona_only,gpt-4o-mini,6,1154,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.0,0.35,0.0,0.52,0.0,4.75,6.48,0.0,0.44867233763376224,0.7938140047698858,True
syn_0005,persona_only,qwen3-32b,6,1063,nan,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.0,0.84,0.0,0.56,0.28,3.26,8.1,0.0,0.8061723376337622,1.406582016916824,True
syn_0006,lex_fewshot,deepseek-v3,6,1116,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.62,1.42,0.0,1.24,1.51,5.24,10.39,0.0,0.9812500000000002,4.520648016287219,True
syn_0006,lex_fewshot,gpt-4o-mini,6,1183,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,1.1,1.77,0.0,1.26,0.34,7.17,9.61,0.08,1.0750000000000002,2.757475181140183,True
syn_0006,lex_fewshot,qwen3-32b,6,1629,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,1.05,1.29,0.0,0.68,2.15,7.38,9.85,0.06,1.24375,6.311422727060642,True
syn_0006,liwc_only,deepseek-v3,6,1166,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.6,0.94,0.0,1.11,1.45,4.87,9.56,0.0,0.7450000000000001,4.0544898825099684,True
syn_0006,liwc_only,gpt-4o-mini,6,1199,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.67,1.91,0.0,1.08,0.58,6.07,8.4,0.0,0.7675000000000002,2.5551915011079114,True
syn_0006,liwc_only,qwen3-32b,6,735,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.41,1.22,0.0,0.41,1.08,4.47,7.85,0.0,0.46124999999999994,2.9305098512786656,True
syn_0006,persona_liwc,deepseek-v3,6,1200,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.91,1.16,0.0,1.07,1.07,5.62,9.34,0.0,0.8250000000000001,3.6952736408580407,True
syn_0006,persona_liwc,gpt-4o-mini,6,1163,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.77,0.86,0.0,1.03,0.43,7.71,7.62,0.0,0.7312500000000001,2.0876954629725972,True
syn_0006,persona_liwc,qwen3-32b,6,1279,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.31,1.55,0.0,0.93,1.08,4.11,8.83,0.0,0.6325,2.9903625272006367,True
syn_0006,persona_only,deepseek-v3,6,1236,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.24,1.04,0.16,1.2,0.0,5.38,7.3,0.16,0.32875,0.711991874973027,True
syn_0006,persona_only,gpt-4o-mini,6,1188,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.0,0.59,0.0,1.17,0.08,7.61,5.43,0.0,0.6587500000000001,0.9579501248865887,True
syn_0006,persona_only,qwen3-32b,6,1204,nan,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.16,0.74,0.0,0.66,0.08,5.77,7.41,0.08,0.31125,0.39741409010600753,True
syn_0007,lex_fewshot,deepseek-v3,6,1117,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.36,2.58,0.0,1.24,1.33,5.77,9.95,0.09,1.305606518532207,4.457334530289531,True
syn_0007,lex_fewshot,gpt-4o-mini,6,1165,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.68,1.97,0.0,1.54,0.77,6.84,7.53,0.0,1.0793565185322074,3.418798965833378,True
syn_0007,lex_fewshot,qwen3-32b,6,980,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.1,2.13,0.1,0.1,1.01,4.86,9.52,0.51,1.0568565185322072,3.1830430237908747,True
syn_0007,liwc_only,deepseek-v3,6,1073,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.56,1.95,0.09,1.95,1.02,5.19,10.01,0.37,1.1981065185322075,3.893944921418208,True
syn_0007,liwc_only,gpt-4o-mini,6,1163,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.6,2.57,0.09,1.03,0.6,7.02,8.56,0.0,1.1993565185322073,3.044174788374092,True
syn_0007,liwc_only,qwen3-32b,6,1281,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.08,1.16,0.08,0.62,0.77,4.01,8.24,0.23,0.8443565185322074,2.2983985140876384,True
syn_0007,persona_liwc,deepseek-v3,6,1209,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.33,1.97,0.0,1.48,1.31,5.01,9.45,0.25,1.1131065185322073,4.122958112114043,True
syn_0007,persona_liwc,gpt-4o-mini,6,1177,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.25,1.61,0.0,1.02,0.59,7.21,8.48,0.0,1.0581065185322074,2.406127797689591,True
syn_0007,persona_liwc,qwen3-32b,6,1382,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.14,1.22,0.0,1.08,1.22,5.12,8.86,0.14,0.9056065185322073,3.4280675983051023,True
syn_0007,persona_only,deepseek-v3,6,1139,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.09,0.78,0.0,1.57,0.35,6.61,6.61,0.0,0.8243565185322074,1.813939753043889,True
syn_0007,persona_only,gpt-4o-mini,6,1182,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.08,0.76,0.0,1.43,0.0,7.0,7.34,0.0,0.9243565185322072,1.4547061178718508,True
syn_0007,persona_only,qwen3-32b,6,1184,nan,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.42,0.75,0.0,0.83,0.08,5.99,8.57,0.0,0.9056065185322073,1.4732179501162028,True
