plan_id,profile_id,cell,content,steering_condition,repetition,model_key,target_O,target_N,pred_O,pred_N,err_O,err_N,n_words,standardized_mae
deepseek-v3__syn_0001__memorable_journey__lex_fewshot__r0,syn_0001,,memorable_journey,lex_fewshot,0,deepseek-v3,17.0,40.0,80.65022,66.94451,63.65022277832031,26.94451141357422,204,2.2532812449932096
deepseek-v3__syn_0001__difficult_decision__persona_only__r0,syn_0001,,difficult_decision,persona_only,0,deepseek-v3,17.0,40.0,47.05575,63.93136,30.05575180053711,23.931358337402344,216,2.2260231028738975
deepseek-v3__syn_0001__difficult_decision__liwc_only__r0,syn_0001,,difficult_decision,liwc_only,0,deepseek-v3,17.0,40.0,42.1831,61.379375,25.183101654052734,21.379375457763672,219,1.1939373231921575
deepseek-v3__syn_0001__daily_life_change__persona_only__r0,syn_0001,,daily_life_change,persona_only,0,deepseek-v3,17.0,40.0,45.02519,48.829487,28.025188446044922,8.829486846923828,166,1.440082642367667
deepseek-v3__syn_0001__difficult_decision__lex_fewshot__r0,syn_0001,,difficult_decision,lex_fewshot,0,deepseek-v3,17.0,40.0,44.88787,49.507683,27.88787078857422,9.507682800292969,178,1.0864438116045203
deepseek-v3__syn_0001__difficult_decision__persona_liwc__r0,syn_0001,,difficult_decision,persona_liwc,0,deepseek-v3,17.0,40.0,65.46135,58.393547,48.46134948730469,18.39354705810547,175,1.527619040132389
qwen3-32b__syn_0000__turning_point__persona_only__r0,syn_0000,,turning_point,persona_only,0,qwen3-32b,50.0,80.0,67.55428,53.78122,17.554283142089844,-26.218780517578125,260,1.833638203059323
deepseek-v3__syn_0001__daily_life_change__liwc_only__r0,syn_0001,,daily_life_change,liwc_only,0,deepseek-v3,17.0,40.0,57.08665,66.51909,40.08665084838867,26.519088745117188,180,1.1795025500751517
deepseek-v3__syn_0001__daily_life_change__lex_fewshot__r0,syn_0001,,daily_life_change,lex_fewshot,0,deepseek-v3,17.0,40.0,32.951935,58.9274,15.951934814453125,18.927398681640625,196,2.6051429886479585
deepseek-v3__syn_0001__meaningful_relationship__persona_only__r0,syn_0001,,meaningful_relationship,persona_only,0,deepseek-v3,17.0,40.0,54.55678,46.73108,37.55678176879883,6.7310791015625,178,0.8751331983489579
