model_key,steering_condition,metric,point,boot_mean,ci95_lo,ci95_hi
gpt-4o-mini,lex_fewshot,bfi_slope_O,-0.0071,-0.0072,-0.0335,0.0181
gpt-4o-mini,lex_fewshot,bfi_slope_N,0.0857,0.0851,-0.0086,0.1726
qwen3-32b,persona_only,liwc_MAE_LIWC,1.1594,1.1596,1.095,1.2217
qwen3-32b,persona_only,liwc_rho_LIWC,0.0812,0.0812,0.0214,0.1393
qwen3-32b,persona_only,liwc_beta_LIWC,0.0892,0.0931,0.0254,0.17
qwen3-32b,persona_only,emb_rho_O,0.0094,0.0094,-0.1688,0.1912
qwen3-32b,persona_only,emb_rho_N,0.3508,0.3471,0.1793,0.5111
qwen3-32b,persona_only,bfi_rho_O,0.8385,0.8342,0.7679,0.8883
qwen3-32b,persona_only,bfi_rho_N,0.8151,0.8107,0.7332,0.8767
qwen3-32b,persona_only,bfi_standardized_mae_O,0.8562,0.8553,0.7834,0.9249
qwen3-32b,persona_only,bfi_standardized_mae_N,0.4373,0.4364,0.3831,0.4897
qwen3-32b,persona_only,bfi_MAE_BFI,0.6468,0.6459,0.5996,0.6923
qwen3-32b,persona_only,bfi_slope_O,0.3847,0.3851,0.3368,0.4368
qwen3-32b,persona_only,bfi_slope_N,0.5575,0.557,0.5055,0.6041
qwen3-32b,liwc_only,liwc_MAE_LIWC,1.9565,1.9566,1.7852,2.1194
qwen3-32b,liwc_only,liwc_rho_LIWC,0.5116,0.5106,0.4596,0.5585
qwen3-32b,liwc_only,liwc_beta_LIWC,1.4215,1.4634,1.2237,1.8571
qwen3-32b,liwc_only,emb_rho_O,0.0087,0.0086,-0.1556,0.1774
qwen3-32b,liwc_only,emb_rho_N,-0.0917,-0.0895,-0.2872,0.1008
qwen3-32b,liwc_only,bfi_rho_O,-0.1045,-0.1046,-0.2746,0.0719
qwen3-32b,liwc_only,bfi_rho_N,0.0428,0.0428,-0.128,0.2162
qwen3-32b,liwc_only,bfi_standardized_mae_O,0.9684,0.9684,0.8681,1.0645
qwen3-32b,liwc_only,bfi_standardized_mae_N,0.9313,0.9313,0.8397,1.0205
qwen3-32b,liwc_only,bfi_MAE_BFI,0.9498,0.9498,0.8875,1.0122
