model_key,steering_condition,liwc_MAE_LIWC,liwc_rho_LIWC,liwc_beta_LIWC,liwc_n_profiles,emb_rho_O,emb_rho_N,emb_n_profiles,bfi_rho_O,bfi_rho_N,bfi_standardized_mae_O,bfi_standardized_mae_N,bfi_MAE_BFI,bfi_slope_O,bfi_slope_N,bfi_n_profiles,boot_id
qwen3-32b,liwc_only,2.051454110770433,0.529184588388542,1.3074215977133128,46,0.0207426721185449,-0.25562242440744054,46,-0.018106538128785068,-0.1214477506793648,0.9466623131558094,0.9455014527540716,0.9460818829549404,0.005991315217705208,-0.0575517208533385,46,1198
qwen3-32b,lex_fewshot,2.4406993758096727,0.5239269967410709,1.5657333447402397,50,0.15645951756858592,0.14517331212903686,50,-0.23480039457866225,0.13518318634305318,0.9684955753641459,0.81398751487971,0.891241545121928,-0.04295801884914863,0.0669422298077194,50,846
gpt-4o-mini,persona_liwc,1.2613675953916998,0.4289430679540518,0.678893781931736,49,0.21585750401939607,0.25702843225502575,49,0.761784431497602,0.6751297639608115,1.4168117931517195,0.538040816218827,0.9774263046852733,0.2598560897418999,0.5154128953686039,49,1815
deepseek-v3,liwc_only,2.941015335221071,0.6955851511502152,2.123090923947906,51,0.1079881933584693,-0.13035704967005213,51,-0.18736685879062825,0.14890873798992443,0.9028170925291225,0.8738589551551048,0.8883380238421137,-0.053441885269748246,0.0972384344374923,51,487
qwen3-32b,persona_only,1.1632336005427593,0.031046710627717022,0.03565454495772247,48,0.07879661099091768,0.43034483028076587,48,0.7923549240125356,0.8069794178897556,0.8476437580719333,0.425071091175315,0.6363574246236241,0.3622299911481418,0.5612404389297958,48,1803
deepseek-v3,liwc_only,2.638989421921964,0.7064513112891921,2.2879168203142153,51,0.1868758000611576,-0.14055817148198868,51,-0.26068233714084943,0.10822129371083145,1.0013457670532984,0.8509808320957738,0.9261632995745361,-0.06639234132225756,0.10762166760234973,51,1719
gpt-4o-mini,persona_only,1.1060381630026543,0.04746701199237286,0.02064020555842537,53,0.30811134704123583,0.0003226522247762281,53,0.8062452087156714,0.8698511344731542,1.2661450291267207,0.4320365934037582,0.8490908112652394,0.2947889948929522,0.540320184183568,53,628
deepseek-v3,persona_liwc,2.5518193038270653,0.620537359135112,1.7949306137431682,51,0.24918499566605878,-0.08529905946192116,51,0.7487885344354712,0.705988957542624,0.6573906588124115,0.44367296004077994,0.5505318094265957,0.399920179302235,0.7126770461334938,51,1282
qwen3-32b,persona_only,1.1383477671303082,0.08873674885692322,0.09142545456521872,53,-0.01375804785010813,0.4349930815394532,53,0.8531661966385353,0.8139009383276593,0.8522290327279308,0.4066843011948302,0.6294566669613805,0.40826603221707397,0.5744273357689078,53,609
deepseek-v3,persona_only,1.2726600138782156,-0.07524441192283249,-0.03106732955579144,52,0.2701364377675771,-0.01969370650938619,52,0.8320369310123055,0.8592092152110459,0.647392541027707,0.37591556634299533,0.5116540536853512,0.5939895214013567,0.8378885390589443,52,1394
