model_key,contrast,metric,point_delta,boot_mean_delta,ci95_lo,ci95_hi
qwen3-32b,persona_liwc - persona_only,liwc_MAE_LIWC,0.751,0.7486,0.5703,0.9236
qwen3-32b,persona_liwc - persona_only,liwc_rho_LIWC,0.3609,0.3608,0.2917,0.4329
qwen3-32b,persona_liwc - persona_only,liwc_beta_LIWC,1.2112,1.2432,1.0646,1.5325
qwen3-32b,persona_liwc - persona_only,emb_rho_O,0.2719,0.2729,0.0415,0.4901
qwen3-32b,persona_liwc - persona_only,emb_rho_N,-0.1481,-0.1463,-0.3581,0.0723
qwen3-32b,persona_liwc - persona_only,bfi_rho_O,-0.0296,-0.0293,-0.1019,0.0404
qwen3-32b,persona_liwc - persona_only,bfi_rho_N,-0.1321,-0.1328,-0.2304,-0.0357
qwen3-32b,persona_liwc - persona_only,bfi_standardized_mae_O,-0.0249,-0.0239,-0.0622,0.0149
qwen3-32b,persona_liwc - persona_only,bfi_standardized_mae_N,0.1365,0.1378,0.0772,0.1949
qwen3-32b,persona_liwc - persona_only,bfi_MAE_BFI,0.0558,0.057,0.0193,0.0928
qwen3-32b,persona_liwc - persona_only,bfi_slope_O,-0.0278,-0.0281,-0.0697,0.0145
qwen3-32b,persona_liwc - persona_only,bfi_slope_N,-0.1211,-0.1219,-0.1862,-0.0561
qwen3-32b,persona_liwc - liwc_only,liwc_MAE_LIWC,-0.0461,-0.0484,-0.1938,0.1065
qwen3-32b,persona_liwc - liwc_only,liwc_rho_LIWC,-0.0694,-0.0686,-0.124,-0.0121
qwen3-32b,persona_liwc - liwc_only,liwc_beta_LIWC,-0.1211,-0.1271,-0.3193,0.0435
qwen3-32b,persona_liwc - liwc_only,emb_rho_O,0.2725,0.2737,0.074,0.4694
qwen3-32b,persona_liwc - liwc_only,emb_rho_N,0.2944,0.2903,0.0492,0.5519
qwen3-32b,persona_liwc - liwc_only,bfi_rho_O,0.9134,0.9095,0.7403,1.0781
qwen3-32b,persona_liwc - liwc_only,bfi_rho_N,0.6402,0.6351,0.4917,0.7785
qwen3-32b,persona_liwc - liwc_only,bfi_standardized_mae_O,-0.137,-0.137,-0.1955,-0.0761
qwen3-32b,persona_liwc - liwc_only,bfi_standardized_mae_N,-0.3575,-0.357,-0.4208,-0.2911
qwen3-32b,persona_liwc - liwc_only,bfi_MAE_BFI,-0.2472,-0.247,-0.2927,-0.2028
qwen3-32b,persona_liwc - liwc_only,bfi_slope_O,0.3687,0.369,0.3216,0.4185
qwen3-32b,persona_liwc - liwc_only,bfi_slope_N,0.4097,0.4087,0.3471,0.4711
